atuin 18.3.0-1
base 3-2
base-devel 1-2
blesh-git 0.4.0_devel4.r2216.3b2b4b81-1
btop 1.4.0-4
discord-canary 0.0.550-1
dosfstools 4.2-5
efibootmgr 18-3
feh 3.10.3-1
firefox 133.0.3-2
fuse3 3.16.2-1
fzf 0.56.3-1
git 2.47.1-1
grim 1.4.1-2
grub 2:2.12-3
hyprland-git 0.46.0.r18.71dc9f61-1
hyprpaper-git 0.7.3.r1.gf15e678-1
intel-ucode 20241112-1
kitty 0.37.0-1
linux 6.12.4.arch1-1
linux-firmware 20241210.b00a7f7e-1
ly 1.0.2-1
man-db 2.13.0-1
mtools 1:4.0.46-1
neofetch 7.1.0-2
neovim 0.10.2-2
ntfs-3g 2022.10.3-1
openssh 9.9p1-2
os-prober 1.81-2
pavucontrol 1:6.1-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
ranger 1.9.4-1
reflector 2023-2
slurp 1.5.0-1
stow 2.4.1-1
sudo 1.9.16.p2-1
swaync 0.10.1-3
tmux 3.5_a-1
ttf-jetbrains-mono-nerd 3.3.0-1
udiskie 2.5.3-1
vi 1:070224-6
waybar 0.11.0-4
wireplumber 0.5.7-1
wl-clipboard 1:2.2.1-2
wofi 1.4.1-1
xdg-desktop-portal-hyprland-git 1.3.9.r0.gfa50ab34-1
xf86-video-nouveau 1.0.18-1
xorg-xrandr 1.5.3-1
yay-bin 12.4.2-1
yay-bin-debug 12.4.2-1
